"","nb.calls","intercall.dur","dom.freq","whine.dur","pulse.rate","nb.pulse","id","year","time","date","male.rep","color","temp","plant.rep","site","sp","treat","pl.rep","daysintreat","loc","location","hour","minutes","circ.time","cos","sin","plants","sp.on.pl","aggregation","molt","age"
"EbLentWi_het-BOG-A-HF-01W_180719-0105pm.txt",3,6.291585,276.132911975037,0.749782999999994,17.9158813538672,5,"_180719-0105p",2018,"01:05:00 PM","19/07/18",1,"W",23.2,"A","BOG-FST","HF","hete","A BOG-FST 2018",14,"FST","symp",13,5,3.42520865703887,-0.960049854385929,-0.279829014030992,"2018 hete HF BOG-FST A","LF-HF","2018 LF-HF BOG-FST A",NA,NA
"EbLentWi_het-BOG-A-LF-02R_180807-1115am.txt",4,3.16049799999999,165.965921664101,1.102228,15.6302915049365,3,"_180807-1115a",2018,"11:15:00 AM","07/08/18",2,"R",23,"A","BOG","LF","hete","A BOG 2018",14,"BOG","allo",11,15,2.94524311274043,-0.98078528040323,0.195090322016128,"2018 hete LF BOG A","LF-HF","2018 LF-HF BOG A","2018-06-28",40
"EbLentWi_het-BOG-B-HF-01R_180731-1120am.txt",6,2.873312,269.719491728521,0.770109000000005,16.8163320216593,5,"_180731-1120a",2018,"11:20:00 AM","31/07/18",1,"R",23.3,"B","BOG-FST","HF","hete","B BOG-FST 2018",14,"FST","symp",11,20,2.96705972839036,-0.984807753012208,0.17364817766693,"2018 hete HF BOG-FST B","LF-HF","2018 LF-HF BOG-FST B",NA,NA
"EbLentWi_het-BOG-B-HF-02R_180731-1125am.txt",5,2.516387,294.011956486227,0.734365,19.7261030590255,4,"_180731-1125a",2018,"11:25:00 AM","31/07/18",2,"R",23.4,"B","BOG-FST","HF","hete","B BOG-FST 2018",14,"FST","symp",11,25,2.98887634404029,-0.988361510467761,0.152123386189917,"2018 hete HF BOG-FST B","LF-HF","2018 LF-HF BOG-FST B",NA,NA
"EbLentWi_het-BOG-B-HF-03R_180807-1100am.txt",7,2.559454,281.021669893195,0.820020999999997,18.3344945179857,4,"_180807-1100a",2018,"11:00:00 AM","07/08/18",3,"R",23,"B","BOG-FST","HF","hete","B BOG-FST 2018",14,"FST","symp",11,0,2.87979326579064,-0.965925826289068,0.258819045102521,"2018 hete HF BOG-FST B","LF-HF","2018 LF-HF BOG-FST B",NA,NA
"EbLentWi_het-FST-B-HF-04W_180809-0955am.txt",4,3.07012999999998,276.642178710841,0.806646000000001,17.5411669261293,4,"_180809-0955a",2018,"09:55:00 AM","09/08/18",4,"W",22.6,"B","FST-FST","HF","hete","B FST-FST 2018",14,"FST","symp",9,55,2.59617726234156,-0.854911870672946,0.518773258160522,"2018 hete HF FST-FST B","LF-HF","2018 LF-HF FST-FST B",NA,NA
"EbLentWi_het-FST-B-LF-01R_180713-0340pm.txt",8,2.57222299999999,171.298058621978,0.989424999999997,15.529927723716,5,"_180713-0340p",2018,"03:40:00 PM","13/07/18",1,"R",23.1,"B","FST","LF","hete","B FST 2018",14,"FST","symp",15,40,4.10152374218667,-0.573576436351046,-0.819152044288992,"2018 hete LF FST B","LF-HF","2018 LF-HF FST B","2018-06-21",22
"EbLentWi_het-FST-B-LF-02R_180731-1000am.txt",4,3.62143399999999,166.42935074059,0.875422999999998,15.5836667588706,4,"_180731-1000a",2018,"10:00:00 AM","31/07/18",2,"R",23,"B","FST","LF","hete","B FST 2018",14,"FST","symp",10,0,2.61799387799149,-0.866025403784439,0.5,"2018 hete LF FST B","LF-HF","2018 LF-HF FST B","2018-06-21",40
"EbLentWi_het-FST-B-LF-03R_180805-0925am.txt",8,2.57744300000002,171.457964222427,0.984544,17.1010329023876,4,"_180805-0925a",2018,"09:25:00 AM","05/08/18",3,"R",23.4,"B","FST","LF","hete","B FST 2018",14,"FST","symp",9,25,2.46527756844199,-0.779884483092882,0.625923472184059,"2018 hete LF FST B","LF-HF","2018 LF-HF FST B","2018-06-21",45
"EbLentWi_het-FST-C-HF-04W_180805-1000am.txt",6,2.39336,279.633369582118,0.763981999999999,17.5030192708241,4,"_180805-1000a",2018,"10:00:00 AM","05/08/18",4,"W",23.4,"C","FST-FST","HF","hete","C FST-FST 2018",14,"FST","symp",10,0,2.61799387799149,-0.866025403784439,0.5,"2018 hete HF FST-FST C","LF-HF","2018 LF-HF FST-FST C",NA,NA
"EbLentWi_het-FST-C-LF-01R_180717-0240pm.txt",5,3.091802,177.865612648211,0.810470000000002,16.1368404066482,4,"_180717-0240p",2018,"02:40:00 PM","17/07/18",1,"R",23,"C","FST","LF","hete","C FST 2018",14,"FST","symp",14,40,3.83972435438752,-0.766044443118978,-0.642787609686539,"2018 hete LF FST C","LF-HF","2018 LF-HF FST C","2018-06-25",22
"EbLentWi_het-FST-C-LF-02R_180724-1110am.txt",11,3.941075,173.795500627587,0.733204999999998,16.562941247107,4,"_180724-1110a",2018,"11:10:00 AM","24/07/18",2,"R",23.2,"C","FST","LF","hete","C FST 2018",14,"FST","symp",11,10,2.9234264970905,-0.976296007119933,0.216439613938103,"2018 hete LF FST C","LF-HF","2018 LF-HF FST C","2018-06-25",29
"EbLentWi_het-FST-C-LF-03R_180726-0340pm.txt",2,2.48138,165.092176465251,1.01294299999998,16.7009035188803,3,"_180726-0340p",2018,"03:40:00 PM","26/07/18",3,"R",23.1,"C","FST","LF","hete","C FST 2018",14,"FST","symp",15,40,4.10152374218667,-0.573576436351046,-0.819152044288992,"2018 hete LF FST C","LF-HF","2018 LF-HF FST C","2018-06-25",31
"EbLentWi_het-FST-D-HF-03R_180724-1010am.txt",5,2.427397,274.273176083378,0.637402,20.9516227031782,4,"_180724-1010a",2018,"10:15:00 AM","24/07/18",3,"R",22.8,"D","FST-FST","HF","hete","D FST-FST 2018",14,"FST","symp",10,15,2.68344372494128,-0.896872741532688,0.442288690219002,"2018 hete HF FST-FST D","LF-HF","2018 LF-HF FST-FST D",NA,NA
