"year","plant.rep","site","sp","treat","pl.rep","daysintreat","loc","location","aggregation","temp","peak_pref","dom.freq","z.temp","z.days","sd.temp","sd.peak_pref","sd.dom.freq","n.fem","n.males","z.domf","z.pref"
"2018","A","BOG-FST","HF","hete","A BOG-FST 2018",14,"FST","symp","2018 LF-HF BOG-FST A",23.2,311.956,276.132911975037,-0.874625232830737,0.824990960838048,0.4,8.89540330732676,NA,2,1,-16.862826074443,8.70745312500003
"2018","B","BOG-FST","HF","hete","B BOG-FST 2018",14,"FST","symp","2018 LF-HF BOG-FST B",23.15,304.085,281.021669893195,-0.924408376650342,0.824990960838048,0.238047614284762,NA,12.156004147742,1,3,-11.974068156285,0.836453124999991
"2018","B","FST-FST","HF","hete","B FST-FST 2018",14,"FST","symp","2018 LF-HF FST-FST B",23.2,299.7585,276.642178710841,-0.874625232830737,0.824990960838048,0.676756972627544,14.8740406833517,NA,4,1,-16.353559338639,-3.49004687499996
"2018","D","FST-FST","HF","hete","D FST-FST 2018",14,"FST","symp","2018 LF-HF FST-FST D",23.9,296.299,274.273176083378,-0.177661219356258,0.824990960838048,0.665832811847939,11.0591500577576,NA,2,1,-18.722561966102,-6.94954687500001
"2018","A","OLT-FST","HF","hete","A OLT-FST 2018",14,"FST","symp","2018 LF-HF OLT-FST A",23.05,287.799,297.361352914913,-1.02397466428956,0.824990960838048,0.989949493661165,13.0305637637057,3.66091159923844,2,2,4.36561486543303,-15.449546875
"2018","A","BOG","LF","hete","A BOG 2018",14,"BOG","allo","2018 LF-HF BOG A",23.1,171.162,165.965921664101,-0.974191520469949,0.824990960838048,0.420317340430616,6.95045022522523,NA,3,1,-8.84321320801862,-10.9025092592593
"2018","B","FST","LF","hete","B FST 2018",14,"FST","symp","2018 LF-HF FST B",23.25,178.489,171.298058621978,-0.824842089011131,0.824990960838048,0.492612085384297,7.85385281247364,2.8582290491683,3,3,-3.51107625014163,-3.57550925925926
"2018","C","FST","LF","hete","C FST 2018",14,"FST","symp","2018 LF-HF FST C",23.1,179.4325,173.795500627587,-0.974191520469947,0.824990960838048,0.320936130717624,0.925602776573189,6.52526289707015,2,3,-1.01363424453262,-2.63200925925926
"2018","B","OLT","LF","hete","B OLT 2018",14,"OLT","allo","2018 LF-HF OLT B",23.1,174.273,168.701462815746,-0.974191520469947,0.824990960838048,0.426223728418148,4.23132697862029,2.82356334854616,2,4,-6.10767205637313,-7.79150925925927
"2018","D","OLT","LF","hete","D OLT 2018",14,"OLT","allo","2018 LF-HF OLT D",23,176.721,167.433726738518,-1.07375780810916,0.824990960838048,0.618869937870633,12.5559741292077,3.52111977602524,3,2,-7.37540813360209,-5.34350925925926
