"","name","peak_pref","peak_height","tolerance","strength","responsiveness","smoothing","pb","year","time","date","color","temp","plant.rep","site","sp","treat","pl.rep","daysintreat","loc","location","hour","minutes","circ.time","cos","sin","plants","sp.on.pl","aggregation","molt","age"
"1","X1_LF_homo",174.29,2.733,59.296,1.926,0.667,0.005,"1","2018","02:35:00 PM","02/08/18","R","23.7","A","FST","LF","homo","A FST 2018",14,"FST","symp",14,35,3.8179077387376,-0.779884483092882,-0.625923472184059,"2018 homo LF FST A","LF","2018 LF FST A","2018-06-19",44
"2","X3_LF_homo",189.556,2.394,55.522,3.526,0.444,0.005,"3","2018","03:25:00 PM","02/08/18","W","23.5","A","FST","LF","homo","A FST 2018",14,"FST","symp",15,25,4.03607389523689,-0.62592347218406,-0.779884483092881,"2018 homo LF FST A","LF","2018 LF FST A","2018-06-19",44
"3","X4_LF_homo",179.56,0.794,78.336,1.812,0.222,0.05,"4","2018","04:00:00 PM","02/08/18","R","23.5","A","FST","LF","homo","A FST 2018",14,"FST","symp",16,0,4.18879020478639,-0.5,-0.866025403784438,"2018 homo LF FST A","LF","2018 LF FST A","2018-06-19",44
"4","X5_LF_homo",160.095,0.198,79.509,1.837,0.056,0.05,"5","2018","04:15:00 PM","02/08/18","W","23.4","A","FST","LF","homo","A FST 2018",14,"FST","symp",16,15,4.25424005173618,-0.442288690219001,-0.896872741532688,"2018 homo LF FST A","LF","2018 LF FST A","2018-06-19",44
"5","X6_LF_homo",183.504,2.829,57.8,3.214,0.556,0.005,"6","2018","04:25:00 PM","02/08/18","R","23.7","A","FST","LF","homo","A FST 2018",14,"FST","symp",16,25,4.29787328303604,-0.402746689858737,-0.915311479119447,"2018 homo LF FST A","LF","2018 LF FST A","2018-06-19",44
"6","X7_LF_homo",165.535,1.941,65.297,2.474,0.444,0.008787994,"7","2018","04:35:00 PM","02/08/18","W","23.6","A","FST","LF","homo","A FST 2018",14,"FST","symp",16,35,4.34150651433589,-0.362438038283702,-0.932007869282798,"2018 homo LF FST A","LF","2018 LF FST A","2018-06-19",44
"7","X8_LF_homo",179.56,0.397,78.336,1.812,0.111,0.05,"8","2018","04:45:00 PM","02/08/18","R","23.6","A","FST","LF","homo","A FST 2018",14,"FST","symp",16,45,4.38513974563575,-0.321439465303162,-0.946930129495106,"2018 homo LF FST A","LF","2018 LF FST A","2018-06-19",44
"8","X9_LF_homo",175.684,1.761,55.369,3.364,0.333,0.005,"9","2018","02:25:00 PM","04/08/18","W","22.9","B","BOG","LF","homo","B BOG 2018",14,"BOG","allo",14,25,3.77427450743774,-0.806444604267483,-0.591309648363582,"2018 homo LF BOG B","LF","2018 LF BOG B","2018-06-25",40
"9","X10_LF_homo",179.118,3.338,58.412,3.123,0.667,0.005,"10","2018","02:50:00 PM","04/08/18","R","22.4","B","BOG","LF","homo","B BOG 2018",14,"BOG","allo",14,50,3.88335758568738,-0.737277336810124,-0.67559020761566,"2018 homo LF BOG B","LF","2018 LF BOG B","2018-06-25",40
"10","X11_LF_homo",160.095,0.396,79.509,1.837,0.111,0.05,"11","2018","03:05:00 PM","04/08/18","R","22.7","B","BOG","LF","homo","B BOG 2018",14,"BOG","allo",15,5,3.94880743263717,-0.691513055782269,-0.722363962059756,"2018 homo LF BOG B","LF","2018 LF BOG B","2018-06-25",40
"11","X12_LF_hete",178.778,3.334,58.344,1.718,0.833,0.005,"12","2018","10:50:00 AM","05/08/18","R","23.8","C","FST","LF","hete","C FST 2018",14,"FST","symp",10,50,2.83616003449079,-0.953716950748227,0.300705799504273,"2018 hete LF FST C","LF-HF","2018 LF-HF FST C","2018-06-22",44
"12","X13_LF_homo",176.126,3.321,63.41,2.255,0.778,0.005,"13","2018","11:30:00 AM","05/08/18","R","23.7","A","BOG","LF","homo","A BOG 2018",14,"BOG","allo",11,30,3.01069295969022,-0.99144486137381,0.130526192220052,"2018 homo LF BOG A","LF","2018 LF BOG A","2018-06-25",41
"13","X14_LF_homo",170.958,2.789,143.259,0.292,1.556,0.05,"14","2018","11:45:00 AM","05/08/18","R","23.7","A","BOG","LF","homo","A BOG 2018",14,"BOG","allo",11,45,3.07614280664001,-0.997858923238603,0.0654031292301431,"2018 homo LF BOG A","LF","2018 LF BOG A","2018-06-25",41
"14","X15_LF_homo",178.472,3.31,60.333,1.451,0.889,0.005,"15","2018","01:00:00 PM","05/08/18","W","23.3","A","BOG","LF","homo","A BOG 2018",14,"BOG","allo",13,0,3.40339204138894,-0.965925826289068,-0.258819045102521,"2018 homo LF BOG A","LF","2018 LF BOG A","2018-06-25",41
"15","X16_LF_homo",212.846,3.972,94.214,1.296,1.333,0.005,"16","2018","01:20:00 PM","05/08/18","W","23.8","A","BOG","LF","homo","A BOG 2018",14,"BOG","allo",13,20,3.49065850398866,-0.939692620785908,-0.342020143325669,"2018 homo LF BOG A","LF","2018 LF BOG A","2018-06-25",41
"16","X17_LF_homo",188.961,2.734,94.979,1.209,0.944,0.0348664,"17","2018","01:35:00 PM","05/08/18","R","23.9","A","BOG","LF","homo","A BOG 2018",14,"BOG","allo",13,35,3.55610835093845,-0.915311479119447,-0.402746689858737,"2018 homo LF BOG A","LF","2018 LF BOG A","2018-06-25",41
"17","X18_HF_hete",299.937,3.601,69.938,1.644,1,0.005,"18","2018","02:10:00 PM","05/08/18","W","23.9","B","FST-FST","HF","hete","B FST-FST 2018",14,"FST","symp",14,10,3.70882466048795,-0.843391445812886,-0.537299608346824,"2018 hete HF FST-FST B","LF-HF","2018 LF-HF FST-FST B",NA,NA
